datatype,kind,id,latitude,longitude,city,type,status,country
physicalStore,Zara,3414,48.858164,2.349571,PARIS,Street,OPEN,France
physicalStore,Zara,3022,48.861454,2.34648,PARIS,Mall,OPEN,France
physicalStore,Zara,3237,48.859871999999996,2.343996,PARIS,Street,OPEN,France
physicalStore,Zara,304,48.87125833,2.33243055,PARIS,Street,OPEN,France
physicalStore,Zara,12672,48.8735514,2.32974287,PARIS,Street,OPEN,France
physicalStore,Zara,3040,48.850291999999996,2.32429,PARIS,Street,OPEN,France
physicalStore,Zara,3064,48.845686,2.325603,PARIS,Street,OPEN,France
physicalStore,Zara,3042,48.8326719,2.3309258,PARIS,Street,OPEN,France
physicalStore,Zara,3054,48.830048,2.356092,PARIS,Mall,OPEN,France
physicalStore,Zara,14914,48.87124,2.30477,PARIS,Street,OPEN,France
physicalStore,Zara,9192,48.87137,2.302816,PARIS,Street,OPEN,France
physicalStore,Zara,6402,48.84876,2.28194,PARIS,Mall,OPEN,France
physicalStore,Zara,326,48.857730000000004,2.279242,PARIS,Street,OPEN,France
physicalStore,Zara,1361,48.89233,2.2968,LEVALLOIS-PERRET,Mall,OPEN,France
physicalStore,Zara,3492,48.811780999999996,2.329343,ARCUEIL,Mall,OPEN,France
physicalStore,Zara,1278,48.92579,2.32961,VILLENEUVE LA GARENNE,Mall,OPEN,France
physicalStore,Zara,3096,48.83704,2.23992,BOULOGNE BILLANCOURT,Mall,OPEN,France
physicalStore,Zara,12827,48.88999,2.240957,PUTEAUX,Mall,OPEN,France
physicalStore,Zara,3003,48.88296,2.4789593,ROSNY SOUS BOIS,Mall,OPEN,France
physicalStore,Zara,328,48.75689,2.370697,THIAIS,Mall,OPEN,France
physicalStore,Zara,317,48.781501,2.455732,CRETEIL,Mall,OPEN,France
physicalStore,Zara,329,48.779606,2.207345,VELIZY,Mall,OPEN,France
physicalStore,Zara,3396,48.957195999999996,2.475514,AULNAY SOUS BOIS,Mall,OPEN,France
physicalStore,Zara,13644,48.840153,2.547025,NOISY LE GRAND,Mall,OPEN,France
physicalStore,Zara,6436,48.991194,2.522006,ROISSY-EN-FRANCE,Mall,OPEN,France
physicalStore,Zara,12491,48.628723,2.427732,EVRY,Mall,OPEN,France
physicalStore,Zara,13639,49.038325,2.079773,CERGY PONTOISE,Mall,OPEN,France
physicalStore,Zara,12492,48.82623,1.96137,PLAISIR,Mall,OPEN,France
physicalStore,Zara,3047,51.51081944,-0.13811944,LONDON,Street,OPEN,United Kingdom
physicalStore,Zara,3229,51.51371666,-0.12344722,LONDON,Street,OPEN,United Kingdom
physicalStore,Zara,1377,51.516172,-0.132896,LONDON,Street,OPEN,United Kingdom
physicalStore,Zara,3436,51.51552222,-0.14014166,LONDON,Street,OPEN,United Kingdom
physicalStore,Zara,9722,51.514373,-0.146763,LONDON,Street,PROVISIONAL,United Kingdom
physicalStore,Zara,3219,51.51426944,-0.14707222,LONDON,Street,OPEN,United Kingdom
physicalStore,Zara,3471,51.49689166,-0.139625,LONDON,Street,OPEN,United Kingdom
physicalStore,Zara,1247,51.513817,-0.15395,LONDON,Street,OPEN,United Kingdom
physicalStore,Zara,13896,51.514004,-0.095389,LONDON,Mall,OPEN,United Kingdom
physicalStore,Zara,3298,51.50021388,-0.16273611,LONDON,Street,OPEN,United Kingdom
physicalStore,Zara,3532,51.49158611,-0.15904722,LONDON,Street,OPEN,United Kingdom
physicalStore,Zara,14512,51.480578,-0.144172,LONDON,Street,OPEN,United Kingdom
physicalStore,Zara,3091,51.50250277,-0.19064722,LONDON,Street,OPEN,United Kingdom
physicalStore,Zara,3784,51.50764,-0.221947,LONDON,Mall,OPEN,United Kingdom
physicalStore,Zara,3712,51.5065,-0.021458,LONDON,Mall,OPEN,United Kingdom
physicalStore,Zara,9241,51.54323,-0.00678,STRATFORD,Mall,OPEN,United Kingdom
physicalStore,Zara,3210,51.5766136,-0.227836,LONDON,Mall,OPEN,United Kingdom
physicalStore,Zara,3250,51.37525833,-0.10235833,CROYDON,Mall,OPEN,United Kingdom
physicalStore,Zara,3211,51.405365,0.0167889,BROMLEY,Mall,OPEN,United Kingdom
physicalStore,Zara,3500,51.41097,-0.30445,KINGSTON UPON THAMES,Mall,OPEN,United Kingdom
physicalStore,Zara,14689,51.65617,-0.39605,WATFORD,Mall,OPEN,United Kingdom
physicalStore,Zara,12495,51.487989999999996,0.28393,GRAYS,Mall,OPEN,United Kingdom
physicalStore,Zara,3057,51.43968,0.27077,GREENHITHE,Mall,OPEN,United Kingdom
physicalStore,Zara,3559,31.224203,121.477714,SHANGHAI,Mall,OPEN,Mainland China
physicalStore,Zara,3962,31.235824,121.479068,SHANGHAI,Street,OPEN,Mainland China
physicalStore,Zara,13929,31.243014,121.472214,SHANGHAI,Mall,OPEN,Mainland China
physicalStore,Zara,14808,31.264878,121.499525,SHANGHAI,Mall,OPEN,Mainland China
physicalStore,Zara,12842,31.2297788,121.5248727,SHANGHAI,Mall,OPEN,Mainland China
physicalStore,Zara,12438,31.2297788,121.5248727,SHANGHAI,Mall,OPEN,Mainland China
physicalStore,Zara,11588,31.22128,121.41165,SHANGHAI,Mall,OPEN,Mainland China
physicalStore,Zara,1483,31.20883,121.40356,SHANGHAI,Mall,OPEN,Mainland China
physicalStore,Zara,9190,31.30389,121.50928,SHANGHAI,Mall,OPEN,Mainland China
physicalStore,Zara,12025,31.17228,121.36322,SHANGHAI,Mall,OPEN,Mainland China
physicalStore,Zara,11639,31.155066,121.350821,SHANGHAI,Mall,OPEN,Mainland China
physicalStore,Zara,13723,31.30647,121.3005,SHANGHAI,Mall,OPEN,Mainland China
physicalStore,Zara,13534,39.913056,116.40472199999999,BEIJING,Street,OPEN,Mainland China
physicalStore,Zara,3854,39.9088889,116.366944,BEIJING,Mall,OPEN,Mainland China
physicalStore,Zara,3569,39.914722,116.445,BEIJING,Mall,OPEN,Mainland China
physicalStore,Zara,3679,39.947778,116.46917,BEIJING,Mall,OPEN,Mainland China
physicalStore,Zara,13893,39.8647,116.3289,BEIJING,Mall,OPEN,Mainland China
physicalStore,Zara,1262,39.9230556,116.5125,BEIJING,Mall,OPEN,Mainland China
physicalStore,Zara,1467,39.78833333,116.32111111,BEIJING,Mall,OPEN,Mainland China
physicalStore,Zara,1402,39.905,116.219444,BEIJING,Mall,OPEN,Mainland China
physicalStore,Zara,9132,39.924782,116.599561,BEIJING,Mall,OPEN,Mainland China
physicalStore,Zara,6284,39.9044444,116.636389,BEIJING,Mall,OPEN,Mainland China
physicalStore,Zara,3957,22.5392,114.05462,SHENZHEN,Mall,OPEN,Mainland China
physicalStore,Zara,11899,22.5591,114.06443,SHENZHEN,Mall,OPEN,Mainland China
physicalStore,Zara,3924,22.54118,114.11438,SHENZHEN,Mall,OPEN,Mainland China
physicalStore,Zara,12146,22.54118,114.11438,SHENZHEN,Mall,OPEN,Mainland China
physicalStore,Zara,12027,22.544444,113.950833,SHENZHEN,Mall,OPEN,Mainland China
physicalStore,Zara,14612,22.6483,114.02418,SHENZHEN,Mall,OPEN,Mainland China
physicalStore,Zara,1399,22.520556,113.931111,SHENZHEN,Mall,OPEN,Mainland China
physicalStore,Zara,1484,22.43,114.1416,SHENZHEN,Mall,OPEN,Mainland China
physicalStore,Zara,11902,22.55568,113.88392,SHENZHEN,Mall,OPEN,Mainland China
physicalStore,Zara,4835,35.166925,136.906451,NAGOYA,Street,OPEN,Japan
physicalStore,Zara,3000,35.187067,136.944332,NAGOYA,Mall,OPEN,Japan
physicalStore,Zara,3965,35.224868,136.883458,NAGOYA,Mall,OPEN,Japan
physicalStore,Zara,1255,34.978997,136.974235,CHITA,Mall,OPEN,Japan
physicalStore,Zara,3751,3.1500945,101.71273,KUALA LUMPUR,Mall,OPEN,Malaysia
physicalStore,Zara,3272,3.15806666,101.712633,KUALA LUMPUR,Mall,OPEN,Malaysia
physicalStore,Zara,10866,3.133879,101.72288,KUALA LUMPUR,Mall,OPEN,Malaysia
physicalStore,Zara,3715,3.130703,101.671364,KUALA LUMPUR,Mall,OPEN,Malaysia
physicalStore,Zara,3271,3.117421,101.676613,KUALA LUMPUR,Mall,OPEN,Malaysia
physicalStore,Zara,3324,3.15095,101.614609,PETALING JAYA,Mall,OPEN,Malaysia
physicalStore,Zara,1387,3.073281,101.60755,PETALING JAYA,Mall,OPEN,Malaysia
physicalStore,Zara,1388,3.107863,101.460543,SHAH ALAM,Mall,OPEN,Malaysia
physicalStore,Zara,7064,-26.180201,28.116680000000002,JOHANNESBURG,Mall,OPEN,South Africa
physicalStore,Zara,7067,-26.107894,28.053718,JOHANNESBURG,Mall,OPEN,South Africa
physicalStore,Zara,3964,-26.014536,28.106528,JOHANNESBURG,Mall,OPEN,South Africa
physicalStore,Zara,3764,23.13531,113.31911,GUANGZHOU,Mall,OPEN,Mainland China
physicalStore,Zara,9301,23.0531,113.1514,GUANGZHOU,Mall,OPEN,Mainland China
physicalStore,Zara,6311,23.00967,113.34414,GUANGZHOU,Mall,OPEN,Mainland China
physicalStore,Zara,9125,30.655044,104.0833,CHENGDU,Mall,OPEN,Mainland China
physicalStore,Zara,14611,30.63567,104.1119673,CHENGDU,Mall,OPEN,Mainland China
physicalStore,Zara,9696,30.628611,104.008889,CHENGDU,Mall,OPEN,Mainland China
physicalStore,Zara,10244,30.54254,104.05875,CHENGDU,Mall,OPEN,Mainland China
physicalStore,Zara,3969,29.538358000000002,106.510329,CHONGQING,Mall,OPEN,Mainland China
physicalStore,Zara,12775,34.222462,108.967921,XI'AN,Mall,OPEN,Mainland China
physicalStore,Zara,10805,34.3394444,108.941111,XI'AN,Mall,OPEN,Mainland China
physicalStore,Zara,3870,39.1183333,117.190556,TIANJIN,Mall,OPEN,Mainland China
physicalStore,Zara,1369,39.13555556,117.173611,TIANJIN,Mall,OPEN,Mainland China
physicalStore,Zara,9220,30.582085,114.289247,WUHAN,Mall,OPEN,Mainland China
physicalStore,Zara,14859,30.55806,114.33813,WUHAN,Mall,OPEN,Mainland China
physicalStore,Zara,3987,41.88429,-87.62811,CHICAGO,Mall,OPEN,United States
physicalStore,Zara,3697,41.8953,-87.6249,CHICAGO,Street,OPEN,United States
physicalStore,Zara,4927,41.849386,-87.953372,OAK BROOK,Mall,OPEN,United States
physicalStore,Zara,3892,42.06133,-87.7487291,SKOKIE,Mall,OPEN,United States
physicalStore,Zara,12273,30.30858,120.13869,HANGZHOU,Mall,OPEN,Mainland China
physicalStore,Zara,11806,30.254722,120.209444,HANGZHOU,Mall,OPEN,Mainland China
physicalStore,Zara,12026,30.2084,120.212,HANGZHOU,Mall,OPEN,Mainland China
physicalStore,Zara,6430,30.25045,120.04714,HANGZHOU,Mall,OPEN,Mainland China
physicalStore,Zara,10275,30.310544,120.327052,HANGZHOU,Mall,OPEN,Mainland China
physicalStore,Zara,9186,18.562272,73.916696,PUNE,Mall,OPEN,India
physicalStore,Zara,11725,18.562424,73.91674,PUNE,Mall,OPEN,India
physicalStore,Zara,12272,21.011067699999998,105.8494833,HA NOI,Mall,OPEN,Vietnam
